iter	Passed	Remaining
0	1247	1245826
1	2168	1081958
2	3059	1016651
3	3977	990399
4	4972	989474
5	5764	955053
6	6586	934345
7	7341	910330
8	8133	895600
9	8866	877804
10	9608	863907
11	10336	851033
12	11122	844429
13	11942	841082
14	12661	831430
15	13501	830368
16	14329	828555
17	15167	827475
18	15974	824794
19	16844	825356
20	17571	819145
21	18402	818079
22	19132	812726
23	20001	813387
24	21078	822059
25	21911	820835
26	22870	824173
27	23914	830171
28	24859	832367
29	25707	831213
30	26513	828749
31	27279	825219
32	27998	820448
33	28772	817470
34	29505	813495
35	30281	810873
36	31001	806871
37	31773	804370
38	32614	803647
39	33522	804542
40	34306	802431
41	35050	799478
42	35849	797853
43	36742	798307
44	37544	796785
45	38427	796957
46	39473	800384
47	40262	798549
48	41067	797052
49	41888	795872
50	42720	794937
51	43536	793697
52	44400	793350
53	45421	795720
54	46270	795012
55	47131	794503
56	47955	793373
57	48774	792171
58	49660	792042
59	50459	790529
60	51258	789043
61	52052	787508
62	52805	785380
63	53573	783512
64	54342	781701
65	55039	778888
66	55896	778385
67	56195	770204
68	57070	770039
69	57880	768979
70	58801	769390
71	59628	768545
72	60478	767995
73	61207	765917
74	61972	764323
75	62568	760701
76	63283	758585
77	63687	752816
78	64244	748980
79	64844	745712
80	65392	741924
81	65945	738269
82	66683	736728
83	67381	734775
84	68117	733260
85	68769	730877
86	69520	729561
87	70052	726001
88	70735	724043
89	71496	722904
90	72313	722335
91	73054	721016
92	73861	720344
93	74608	719099
94	75395	718238
95	76021	715873
96	76835	715282
97	77608	714310
98	78368	713234
99	79155	712397
100	79799	710295
101	80651	710048
102	81405	708939
103	81712	703986
104	82574	703848
105	82999	700015
106	83755	699008
107	84375	696877
108	84942	694348
109	85918	695158
110	86712	694478
111	87026	689997
112	87839	689501
113	88642	688919
114	89212	686551
115	89742	683899
116	90553	683406
117	91132	681173
118	91874	680181
119	92764	680274
120	93393	678456
121	94186	677834
122	94908	676708
123	95717	676195
124	96601	676208
125	97295	674888
126	97686	671500
